fixture_id,event_date,league_id,league_name,teams_home_name,teams_away_name,goals_home,goals_away,match_winner
1371792,2025-09-17,667,Friendlies Clubs,San Diego,Club Tijuana,4.0,2.0,Home
1469775,2025-09-17,709,Cup,Mika,Sardarapat,1.0,2.0,Away
1469805,2025-09-17,335,Cup,Stavky,Shakhtar Donetsk,0.0,1.0,Away
1423296,2025-09-17,371,First League,Tikveš,Shkupi 1927,1.0,0.0,Home
1422531,2025-09-17,178,Third League - Southwest,Levski Sofia II,Pirin Gotse Delchev,3.0,1.0,Home
1393326,2025-09-17,211,First NL,Orijent 1919,Sesvete,1.0,1.0,Draw
1402749,2025-09-17,237,Cup,Krylia Sovetov,FC Krasnodar,1.0,2.0,Away
1431527,2025-09-17,435,Primera División RFEF - Group 1,Real Madrid II,Racing Ferrol,0.0,1.0,Away
1469549,2025-09-17,1191,UEFA Europa Cup - Women,Kolos Kovalivka W,Vllaznia,0.0,2.0,Away
1394107,2025-09-17,80,3. Liga,Rot-Weiß Essen,VfL Osnabrück,1.0,1.0,Draw
1452025,2025-09-17,281,Primera División,Sporting Cristal,Alianza Atletico,0.0,0.0,Draw
1469272,2025-09-17,735,Copa Federacion,Bergantiños,Estradense,2.0,1.0,Home
1436638,2025-09-17,163,Liga de Ascenso,Deportivo Upala,Santa Cruz FC,3.0,0.0,Home
1392888,2025-09-17,162,Primera División,Guadalupe FC,Municipal Liberia,2.0,2.0,Draw
1470120,2025-09-17,1158,Copa Gaúcha,Brasil DE Pelotas,Gaúcho,0.0,0.0,Draw
1446939,2025-09-17,11,CONMEBOL Sudamericana,Lanus,Fluminense,1.0,0.0,Home
1469794,2025-09-17,335,Cup,Metal Kharkiv,LNZ Cherkasy,0.0,2.0,Away
1467106,2025-09-17,206,Cup,Karadeniz Ereğli BSK,Bursaspor,1.0,2.0,Away
1409768,2025-09-17,87,Regionalliga - West,Köln II,Borussia M'gladbach II,2.0,1.0,Home
1468313,2025-09-17,206,Cup,Çorluspor 1947,Ayvalıkgücü Belediyespor,2.0,1.0,Home
1444625,2025-09-17,664,Superliga,Drita,Drenica Skënderaj,0.0,1.0,Away
1453528,2025-09-17,199,Cup,OFI,Kavala,3.0,0.0,Home
1453531,2025-09-17,199,Cup,Egaleo,AEK Athens FC,0.0,1.0,Away
1395867,2025-09-17,109,II Liga - East,Hutnik Kraków,Jastrzębie,3.0,0.0,Home
1449622,2025-09-17,291,Azadegan League,Ario Eslamshahr,Mes Shahr-e Babak,0.0,0.0,Draw
1348823,2025-09-17,329,Meistriliiga,Laagri,Kuressaare,2.0,1.0,Home
1415814,2025-09-17,202,Ligue 1,CA Bizertin,AS Gabes,3.0,0.0,Home
1450040,2025-09-17,212,Cup,Graničar Kotoriba,NK Slaven Belupo,0.0,5.0,Away
1469266,2025-09-17,735,Copa Federacion,Deportiva Minera,Unión Molinense,3.0,0.0,Home
1394104,2025-09-17,80,3. Liga,Energie Cottbus,Erzgebirge Aue,2.0,1.0,Home
1394437,2025-09-17,203,Süper Lig,Fatih Karagümrük,Istanbul Basaksehir,0.0,2.0,Away
1400680,2025-09-17,355,First League,Dečić,Sutjeska,3.0,1.0,Home
1421780,2025-09-17,220,Cup,Oberwart,Rapid Vienna,1.0,2.0,Away
1469879,2025-09-17,111,FAW Championship,Caerau (Ely),Baglan Dragons,2.0,1.0,Home
1469155,2025-09-17,14,UEFA Youth League,Haverfordwest U19,Budućnost U19,2.0,3.0,Away
1469016,2025-09-17,344,Primera División,ABB,Gualberto Villarroel SJ,0.0,0.0,Draw
1436637,2025-09-17,163,Liga de Ascenso,AD Sarchí,Turrialba Fc,,,
1466782,2025-09-17,241,Copa Colombia,Santa Fe,Independiente Medellin,,,
1445439,2025-09-17,243,Liga Pro Serie B,San Antonio,Leones del Norte,1.0,1.0,Draw
1326920,2025-09-17,489,USL League One,Richmond Kickers,Portland Hearts of Pine,2.0,5.0,Away
1449724,2025-09-17,241,Copa Colombia,Millonarios,Envigado,0.0,0.0,Draw
1470022,2025-09-17,567,Ligi kuu Bara,KMC,Dodoma Jiji,1.0,0.0,Home
1388943,2025-09-17,315,Premijer Liga,Zrinjski,Sloga Doboj,3.0,0.0,Home
1422534,2025-09-17,178,Third League - Southwest,Septemvri Sofia II,Balkan Botevgrad,,,
1415817,2025-09-17,202,Ligue 1,Jeunesse Sportive Omrane,Club Africain,0.0,3.0,Away
1469796,2025-09-17,335,Cup,Oleksandria,Dynamo Kyiv,1.0,2.0,Away
1470007,2025-09-17,105,NM Cupen,Kongsvinger,KFUM Oslo,1.0,3.0,Away
1424057,2025-09-17,288,Premier Soccer League,Marumo Gallants,Mamelodi Sundowns,1.0,1.0,Draw
